window_index,window_seconds,window_label,window_start,window_end,strategy,fill_model,entry_fills,completed_cycles,total_pnl,net_realized_pnl,unrealized_pnl_end,maximum_drawdown,maximum_absolute_inventory_base
0,3600.0,60m,2026-08-24T04:00:11.875Z,2026-08-24T05:00:11.875Z,static_geometric_grid,conservative_cross_through,4,2,-5.22428,1.10692,-6.3312,10.53668,0.0361
1,3600.0,60m,2026-08-24T05:00:11.875Z,2026-08-24T06:00:11.875Z,iv_adaptive_grid,conservative_cross_through,7,5,-1.65251,2.5517,-4.20421,9.3226,0.029
1,3600.0,60m,2026-08-24T05:00:11.875Z,2026-08-24T06:00:11.875Z,rv_only_adaptive_grid,conservative_cross_through,5,2,-3.3278,0.9115,-4.2393,9.3226,0.029
1,3600.0,60m,2026-08-24T05:00:11.875Z,2026-08-24T06:00:11.875Z,static_geometric_grid,conservative_cross_through,5,3,0.9204000000000001,1.3860000000000001,-0.4656,6.9,0.024
2,3600.0,60m,2026-08-24T06:00:11.875Z,2026-08-24T07:00:11.875Z,iv_adaptive_grid,conservative_cross_through,7,4,-0.8404800000000001,1.656,-2.49648,2.538,0.0144
2,3600.0,60m,2026-08-24T06:00:11.875Z,2026-08-24T07:00:11.875Z,rv_only_adaptive_grid,conservative_cross_through,10,7,2.65,3.25528,-0.60528,1.405,0.0168
2,3600.0,60m,2026-08-24T06:00:11.875Z,2026-08-24T07:00:11.875Z,static_geometric_grid,conservative_cross_through,7,5,-0.46679999999999966,2.2164,-2.6832,2.4084,0.012
3,3600.0,60m,2026-08-24T07:00:11.875Z,2026-08-24T08:00:11.875Z,iv_adaptive_grid,conservative_cross_through,3,2,-2.45094,1.4832,-3.93414,2.89124,0.0169
3,3600.0,60m,2026-08-24T07:00:11.875Z,2026-08-24T08:00:11.875Z,rv_only_adaptive_grid,conservative_cross_through,1,0,-3.93414,0.0,-3.93414,4.37444,0.0119
3,3600.0,60m,2026-08-24T07:00:11.875Z,2026-08-24T08:00:11.875Z,static_geometric_grid,conservative_cross_through,3,2,-3.51138,0.92732,-4.4387,4.41728,0.012
4,3600.0,60m,2026-08-24T08:00:11.875Z,2026-08-24T09:00:11.875Z,iv_adaptive_grid,conservative_cross_through,5,3,-5.457520000000001,1.8799199999999998,-7.33744,10.04004,0.0288
4,3600.0,60m,2026-08-24T08:00:11.875Z,2026-08-24T09:00:11.875Z,rv_only_adaptive_grid,conservative_cross_through,5,3,-5.43154,1.8986399999999999,-7.33018,10.03278,0.0288
4,3600.0,60m,2026-08-24T08:00:11.875Z,2026-08-24T09:00:11.875Z,static_geometric_grid,conservative_cross_through,4,3,-2.7336000000000005,1.2875999999999999,-4.0212,8.5644,0.024
5,3600.0,60m,2026-08-24T09:00:11.875Z,2026-08-24T09:34:57.372Z,iv_adaptive_grid,conservative_cross_through,2,1,-0.5025999999999999,0.4644,-0.967,1.512,0.012
5,3600.0,60m,2026-08-24T09:00:11.875Z,2026-08-24T09:34:57.372Z,rv_only_adaptive_grid,conservative_cross_through,2,2,0.768,0.768,0.0,1.512,0.024
5,3600.0,60m,2026-08-24T09:00:11.875Z,2026-08-24T09:34:57.372Z,static_geometric_grid,conservative_cross_through,2,1,0.6539999999999999,0.4644,0.1896,1.512,0.012
