timestamp,rv_ratio,iv_ratio,full_score,rv_only_score,delta_volatility_score,full_width,rv_only_width,delta_grid_width,full_mode,rv_only_mode,full_volatility_state,rv_only_volatility_state,delta_capital,full_capital,rv_only_capital,delta_level_count,full_level_count,rv_only_level_count
2026-08-24T05:04:47.872Z,0.38208431912228125,0.9970364281387902,0.5358223463764085,0.3820843191222812,0.15373802725412727,0.0075,0.0075,0.0,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:04:52.873Z,0.2958811425963842,0.9970364281387902,0.47116996398198574,0.2958811425963842,0.17528882138560153,0.0075,0.0075,0.0,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:04:57.875Z,0.33384857889620534,0.9970364281387902,0.49964554120685156,0.33384857889620534,0.16579696231064622,0.0075,0.0075,0.0,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:05:02.881Z,0.3002255039738548,0.9970364281387902,0.47442823501508863,0.3002255039738548,0.17420273104123385,0.0075,0.0075,0.0,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:05:07.878Z,0.31499814580196706,0.9970364281387902,0.48550771638617285,0.31499814580196706,0.1705095705842058,0.0075,0.0075,0.0,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:05:12.879Z,0.33537934694335153,0.99859392575928,0.5011829916473336,0.33537934694335153,0.16580364470398207,0.0075,0.0075,0.0,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:05:17.879Z,0.3412839058330668,1.0001514233797697,0.5060007852197426,0.3412839058330668,0.16471687938667579,0.0075,0.0075,0.0,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:05:22.881Z,0.35575089947338145,1.0001514233797697,0.5168510304499785,0.3557508994733814,0.1611001309765971,0.0075,0.0075,0.0,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:05:27.882Z,0.32160440584554933,1.0001514233797697,0.4912411602291044,0.32160440584554933,0.16963675438355508,0.0075,0.0075,0.0,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:05:32.882Z,0.32257718214069697,1.0001514233797697,0.4919707424504651,0.32257718214069697,0.16939356030976815,0.0075,0.0075,0.0,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:05:37.883Z,0.3776654417114426,0.9945054945054944,0.5318754549099556,0.3776654417114426,0.15421001319851296,0.0075,0.0075,0.0,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:05:42.885Z,0.3762186523067802,0.9945054945054944,0.5307903628564588,0.37621865230678014,0.1545717105496786,0.0075,0.0075,0.0,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:05:47.888Z,0.33874637295688415,0.9941377520117677,0.5025942177206051,0.3387463729568842,0.16384784476372088,0.0075,0.0075,0.0,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:05:52.890Z,0.6292622588061771,0.9941377520117677,0.7204811321075748,0.6292622588061771,0.09121887330139766,0.0075,0.0075,0.0,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:05:57.892Z,0.5973004014455132,0.9941377520117677,0.6965097390870768,0.5973004014455132,0.09920933764156359,0.0075,0.0075,0.0,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:06:02.906Z,0.6473103164890947,0.9941377520117677,0.734017175369763,0.6473103164890947,0.08670685888066831,0.0075,0.0075,0.0,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:06:07.896Z,0.6368731375917479,0.9918880332266158,0.7256268615004648,0.6368731375917479,0.08875372390871694,0.0075,0.0075,0.0,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:06:12.896Z,0.7654820871064211,0.9918880332266158,0.8220835736364698,0.7654820871064211,0.056601486530048706,0.008220835736364698,0.007654820871064211,0.0005660148653004867,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:06:17.899Z,0.8138768905149383,0.9918880332266158,0.8583796761928577,0.8138768905149383,0.04450278567791943,0.008583796761928577,0.008138768905149384,0.00044502785677919335,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:06:22.900Z,0.8895868103009166,0.9918880332266158,0.9151621160323413,0.8895868103009166,0.025575305731424747,0.009151621160323413,0.008895868103009167,0.0002557530573142463,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:06:27.902Z,0.8980993534001498,0.9918880332266158,0.9215465233567663,0.8980993534001498,0.023447169956616554,0.009215465233567663,0.008980993534001497,0.0002344716995661654,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:06:32.905Z,0.9633118160453235,0.9918880332266158,0.9704558703406465,0.9633118160453235,0.007144054295323055,0.009704558703406465,0.009633118160453235,7.144054295322999e-05,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:06:37.906Z,0.9633118160453235,0.9918880332266158,0.9704558703406465,0.9633118160453235,0.007144054295323055,0.009704558703406465,0.009633118160453235,7.144054295322999e-05,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:06:42.907Z,1.0179133700338516,0.9918880332266158,1.0114070358320426,1.0179133700338516,-0.0065063342018090164,0.010114070358320426,0.010179133700338516,-6.506334201808982e-05,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:06:47.909Z,1.0179568344196477,0.9966686856450635,1.0126347972260015,1.0179568344196477,-0.005322037193646212,0.010126347972260015,0.010179568344196477,-5.322037193646219e-05,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:06:52.910Z,0.7328082246289502,0.9966686856450635,0.7987733398829785,0.7328082246289501,0.06596511525402837,0.007987733398829786,0.0075,0.0004877333988297858,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:06:57.912Z,0.7332415022528065,0.9966686856450635,0.7990982981008707,0.7332415022528065,0.06585679584806425,0.007990982981008707,0.0075,0.0004909829810087075,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:07:02.920Z,0.7173848450221937,0.9966686856450635,0.7872058051779112,0.7173848450221937,0.06982096015571748,0.007872058051779112,0.0075,0.000372058051779112,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:07:07.915Z,0.9848632959132049,0.9969931643159989,0.9878957630139034,0.9848632959132049,0.0030324671006984882,0.009878957630139034,0.00984863295913205,3.0324671006984327e-05,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:07:12.918Z,0.9667854962793895,0.9969931643159989,0.9743374132885418,0.9667854962793895,0.007551917009152365,0.009743374132885419,0.009667854962793895,7.551917009152379e-05,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:07:17.920Z,0.999673756844724,0.9969931643159989,0.9990036087125427,0.9996737568447239,-0.0006701481321812475,0.009990036087125427,0.00999673756844724,-6.70148132181185e-06,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:07:22.922Z,1.045047183674951,0.9969931643159989,1.033033678835213,1.045047183674951,-0.012013504839738065,0.01033033678835213,0.01045047183674951,-0.0001201350483973785,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:07:27.924Z,1.0521734839224663,0.9905252228086873,1.0367614186440215,1.0521734839224663,-0.015412065278444853,0.010367614186440215,0.010521734839224663,-0.00015412065278444867,short_bias,short_bias,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:07:32.926Z,0.9597395004658786,0.9905252228086873,0.9674359310515809,0.9597395004658787,0.00769643058570213,0.00967435931051581,0.009597395004658787,7.696430585702255e-05,short_bias,short_bias,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:07:37.928Z,1.023803754948971,0.9905252228086873,1.0154841219139,1.023803754948971,-0.008319633035070995,0.010154841219139,0.01023803754948971,-8.319633035071099e-05,short_bias,short_bias,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:07:42.929Z,1.019936521483236,0.9905252228086873,1.012583696814599,1.019936521483236,-0.007352824668637181,0.01012583696814599,0.01019936521483236,-7.352824668637077e-05,short_bias,short_bias,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:07:47.933Z,1.037587890864299,0.9943108073029332,1.0267686199739576,1.037587890864299,-0.010819270890341404,0.010267686199739575,0.01037587890864299,-0.00010819270890341515,short_bias,short_bias,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:07:52.935Z,1.8298461104838653,0.9943108073029332,1.6209622846886322,1.8298461104838653,-0.208883825795233,0.024314434270329484,0.02744769165725798,-0.0031332573869284966,defensive,defensive,high,high,0.0,500.0,500.0,0,6,6
2026-08-24T05:07:57.936Z,1.9672790649048637,0.9943108073029332,1.7240370005043812,1.967279064904864,-0.24324206440048268,0.02586055500756572,0.02950918597357296,-0.0036486309660072394,defensive,defensive,high,high,0.0,500.0,500.0,0,6,6
2026-08-24T05:08:02.945Z,1.9885430456382864,0.9943108073029332,1.7399849860544483,1.9885430456382867,-0.24855805958383836,0.026099774790816724,0.0298281456845743,-0.0037283708937575766,defensive,defensive,high,high,0.0,500.0,500.0,0,6,6
2026-08-24T05:08:07.939Z,1.9403938156205438,0.9966470537336678,1.7044571251488247,1.9403938156205438,-0.23593669047171906,0.02556685687723237,0.029105907234308157,-0.0035390503570757875,defensive,defensive,high,high,0.0,500.0,500.0,0,6,6
2026-08-24T05:08:12.940Z,1.9110693215162091,0.9966470537336678,1.6824637545705738,1.9110693215162093,-0.2286055669456355,0.025236956318558608,0.02866603982274314,-0.0034290835041845304,defensive,defensive,high,high,0.0,500.0,500.0,0,6,6
2026-08-24T05:08:17.941Z,1.9111810138866867,0.9966470537336678,1.682547523848432,1.9111810138866867,-0.22863349003825473,0.02523821285772648,0.0286677152083003,-0.003429502350573821,defensive,defensive,high,high,0.0,500.0,500.0,0,6,6
2026-08-24T05:08:22.941Z,1.9112831585164949,0.9966470537336678,1.682624132320788,1.9112831585164949,-0.22865902619570688,0.02523936198481182,0.028669247377747422,-0.0034298853929356013,defensive,defensive,high,high,0.0,500.0,500.0,0,6,6
2026-08-24T05:08:27.944Z,1.904595558570079,0.9946352859738685,1.6771054904210263,1.904595558570079,-0.2274900681490526,0.025156582356315394,0.028568933378551185,-0.0034123510222357906,defensive,defensive,high,high,0.0,500.0,500.0,0,6,6
2026-08-24T05:08:32.944Z,2.203292090512062,0.9946352859738685,1.9011278893775136,2.203292090512062,-0.30216420113454845,0.028516918340662705,0.03,-0.0014830816593372938,defensive,defensive,high,high,0.0,500.0,500.0,0,6,6
2026-08-24T05:08:37.946Z,2.210455106162283,0.9946352859738685,1.9065001511151793,2.210455106162283,-0.3039549550471037,0.02859750226672769,0.03,-0.00140249773327231,defensive,defensive,high,high,0.0,500.0,500.0,0,6,6
