timestamp,iv_minus_rv_pnl,iv_minus_static_pnl,iv_minus_rv_inventory,iv_minus_static_inventory,iv_minus_rv_drawdown,iv_minus_static_drawdown
2026-08-24T06:55:29.538Z,2.0962299999999985,-25.94311,0.0,-0.043399999999999994,-0.6333200000000012,26.63308
2026-08-24T06:55:34.539Z,2.096230000000002,-26.05161,0.0,-0.043399999999999994,-0.6333199999999977,26.74158
2026-08-24T06:55:39.540Z,2.0962299999999985,-26.02991,0.0,-0.043399999999999994,-0.6333199999999977,26.719880000000003
2026-08-24T06:55:44.541Z,2.096230000000002,-26.11671,0.0,-0.043399999999999994,-0.6333199999999977,26.80668
2026-08-24T06:55:49.542Z,2.0962299999999985,-25.57421,0.0,-0.043399999999999994,-0.6333200000000012,26.26418
2026-08-24T06:55:54.543Z,2.0962299999999985,-25.50911,0.0,-0.043399999999999994,-0.6333200000000012,26.19908
2026-08-24T06:55:59.544Z,2.0962299999999985,-25.57421,0.0,-0.043399999999999994,-0.6333200000000012,26.26418
2026-08-24T06:56:04.545Z,2.0962299999999985,-26.160110000000003,0.0,-0.043399999999999994,-0.6333200000000012,26.85008
2026-08-24T06:56:09.545Z,2.0962299999999985,-26.160110000000003,0.0,-0.043399999999999994,-0.6333200000000012,26.85008
2026-08-24T06:56:14.546Z,2.096230000000002,-26.290309999999998,0.0,-0.043399999999999994,-0.6333200000000012,26.98028
2026-08-24T06:56:19.547Z,2.0962299999999985,-26.33371,0.0,-0.043399999999999994,-0.6333199999999977,27.023680000000002
2026-08-24T06:56:24.547Z,2.0962299999999985,-26.33371,0.0,-0.043399999999999994,-0.6333199999999977,27.023680000000002
2026-08-24T06:56:29.548Z,2.0962299999999985,-26.442210000000003,0.0,-0.043399999999999994,-0.6333200000000012,27.132179999999998
2026-08-24T06:56:34.549Z,2.0962299999999985,-26.98471,0.0,-0.043399999999999994,-0.6333199999999977,27.55468
2026-08-24T06:56:39.551Z,2.0962299999999985,-26.98471,0.0,-0.043399999999999994,-0.6333199999999977,27.55468
2026-08-24T06:56:44.551Z,2.0962299999999985,-26.98471,0.0,-0.043399999999999994,-0.6333199999999977,27.55468
2026-08-24T06:56:49.552Z,2.0962299999999985,-26.98471,0.0,-0.043399999999999994,-0.6333199999999977,27.55468
2026-08-24T06:56:54.552Z,2.0962299999999985,-26.81111,0.0,-0.043399999999999994,-0.6333200000000012,27.38108
2026-08-24T06:56:59.548Z,2.0962299999999985,-26.96301,0.0,-0.043399999999999994,-0.6333200000000012,27.53298
2026-08-24T06:57:04.543Z,2.0962299999999985,-27.33191,0.0,-0.043399999999999994,-0.6333200000000012,27.80588
2026-08-24T06:57:09.542Z,2.096230000000002,-27.07151,0.0,-0.043399999999999994,-0.6333200000000012,27.54548
2026-08-24T06:57:14.541Z,2.096230000000002,-27.07151,0.0,-0.043399999999999994,-0.6333200000000012,27.54548
2026-08-24T06:57:19.542Z,2.096230000000002,-27.07151,0.0,-0.043399999999999994,-0.6333200000000012,27.54548
2026-08-24T06:57:24.540Z,2.096230000000002,-27.07151,0.0,-0.043399999999999994,-0.6333200000000012,27.54548
2026-08-24T06:57:29.541Z,2.096230000000002,-27.07151,0.0,-0.043399999999999994,-0.6333200000000012,27.54548
2026-08-24T06:57:34.543Z,2.0962299999999985,-27.093210000000003,0.0,-0.043399999999999994,-0.6333200000000012,27.56718
2026-08-24T06:57:39.542Z,2.0962299999999985,-27.093210000000003,0.0,-0.043399999999999994,-0.6333200000000012,27.56718
2026-08-24T06:57:44.543Z,2.0962299999999985,-27.093210000000003,0.0,-0.043399999999999994,-0.6333200000000012,27.56718
2026-08-24T06:57:49.543Z,2.096230000000002,-27.07151,0.0,-0.043399999999999994,-0.6333200000000012,27.54548
2026-08-24T06:57:54.544Z,2.096230000000002,-26.854509999999998,0.0,-0.043399999999999994,-0.6333200000000012,27.32848
2026-08-24T06:57:59.546Z,2.096230000000002,-26.854509999999998,0.0,-0.043399999999999994,-0.6333200000000012,27.32848
2026-08-24T06:58:04.548Z,2.096230000000002,-26.854509999999998,0.0,-0.043399999999999994,-0.6333200000000012,27.32848
2026-08-24T06:58:09.548Z,2.096230000000002,-26.854509999999998,0.0,-0.043399999999999994,-0.6333200000000012,27.32848
2026-08-24T06:58:14.549Z,2.096230000000002,-26.854509999999998,0.0,-0.043399999999999994,-0.6333200000000012,27.32848
2026-08-24T06:58:19.550Z,2.096230000000002,-26.854509999999998,0.0,-0.043399999999999994,-0.6333200000000012,27.32848
2026-08-24T06:58:24.552Z,2.096230000000002,-26.854509999999998,0.0,-0.043399999999999994,-0.6333200000000012,27.32848
2026-08-24T06:58:29.552Z,2.096230000000002,-26.854509999999998,0.0,-0.043399999999999994,-0.6333200000000012,27.32848
2026-08-24T06:58:34.553Z,2.096230000000002,-26.854509999999998,0.0,-0.043399999999999994,-0.6333200000000012,27.32848
2026-08-24T06:58:39.555Z,2.096230000000002,-26.854509999999998,0.0,-0.043399999999999994,-0.6333200000000012,27.32848
